Survived,Pclass,Sex,Age,Fare,Embarked,Title,Deck,Family_Size
1,3,male,12.0,11.2417,C,Master,Unknown,1
0,3,male,29.69911764705882,7.75,Q,Mr,Unknown,0
1,3,male,24.0,7.1417,S,Mr,Unknown,0
1,3,female,29.69911764705882,22.3583,C,Miss,E,2
0,3,male,45.0,6.975,S,Mr,Unknown,0
0,3,male,33.0,7.8958,C,Mr,Unknown,0
0,3,male,20.0,7.05,S,Mr,Unknown,0
0,3,female,47.0,14.5,S,Mrs,Unknown,1
1,2,female,29.0,26.0,S,Mrs,Unknown,1
0,2,male,25.0,13.0,S,Mr,Unknown,0
0,2,male,23.0,15.0458,C,Mr,Unknown,0
1,1,female,19.0,26.2833,S,Miss,D,2
0,1,male,37.0,53.1,S,Mr,C,1
0,3,male,16.0,9.2167,S,Mr,Unknown,0
0,1,male,24.0,79.2,C,Mr,B,0
0,3,female,29.69911764705882,15.2458,C,Mrs,Unknown,2
1,3,female,22.0,7.75,S,Miss,Unknown,0
1,3,female,24.0,15.85,S,Mrs,Unknown,1
0,3,male,19.0,6.75,Q,Mr,Unknown,0
0,2,male,18.0,11.5,S,Mr,Unknown,0
0,2,male,19.0,36.75,S,Mr,Unknown,2
1,3,male,27.0,7.7958,S,Mr,Unknown,0
0,3,female,9.0,34.375,S,Miss,Unknown,4
0,2,male,36.5,26.0,S,Mr,F,2
0,2,male,42.0,13.0,S,Mr,Unknown,0
0,2,male,51.0,12.525,S,Mr,Unknown,0
1,1,female,22.0,66.6,S,Mrs,C,1
0,3,male,55.5,8.05,S,Mr,Unknown,0
0,3,male,40.5,14.5,S,Mr,Unknown,2
0,3,male,29.69911764705882,7.3125,S,Mr,Unknown,0
0,1,male,51.0,61.3792,C,Mr,Unknown,1
1,3,female,16.0,7.7333,Q,Miss,Unknown,0
0,3,male,30.0,8.05,S,Mr,Unknown,0
0,3,male,29.69911764705882,8.6625,S,Mr,Unknown,0
0,3,male,29.69911764705882,69.55,S,Master,Unknown,10
0,3,male,44.0,16.1,S,Mr,Unknown,1
1,2,female,40.0,15.75,S,Mrs,Unknown,0
0,3,male,26.0,7.775,S,Mr,Unknown,0
0,3,male,17.0,8.6625,S,Mr,Unknown,0
0,3,male,1.0,39.6875,S,Master,Unknown,5
1,3,male,9.0,20.525,S,Master,Unknown,2
1,1,female,29.69911764705882,55.0,S,Mrs,E,1
0,3,female,45.0,27.9,S,Mrs,Unknown,5
0,1,male,29.69911764705882,25.925,S,Mr,Unknown,0
0,3,male,28.0,56.4958,S,Mr,Unknown,0
0,1,male,61.0,33.5,S,Mr,B,0
0,3,male,4.0,29.125,Q,Master,Unknown,5
1,3,female,1.0,11.1333,S,Miss,Unknown,2
0,3,male,21.0,7.925,S,Mr,Unknown,0
0,1,male,56.0,30.6958,C,Mr,A,0
0,3,male,18.0,7.8542,S,Mr,Unknown,2
0,3,male,29.69911764705882,25.4667,S,Master,Unknown,4
0,1,female,50.0,28.7125,C,Miss,C,0
0,2,male,30.0,13.0,S,Mr,Unknown,0
0,3,male,36.0,0.0,S,Mr,Unknown,0
0,3,female,29.69911764705882,69.55,S,Miss,Unknown,10
0,2,male,29.69911764705882,15.05,C,Mr,Unknown,0
0,3,male,9.0,31.3875,S,Master,Unknown,6
1,2,male,1.0,39.0,S,Master,F,3
1,3,female,4.0,22.025,S,Miss,Unknown,2
0,1,male,29.69911764705882,50.0,S,Mr,A,0
1,3,female,29.69911764705882,15.5,Q,Mrs,Unknown,1
1,1,male,45.0,26.55,S,Mr,Unknown,0
0,3,male,40.0,15.5,Q,Mr,Unknown,2
0,3,male,36.0,7.8958,S,Mr,Unknown,0
1,2,female,32.0,13.0,S,Mrs,Unknown,0
0,2,male,19.0,13.0,S,Mr,Unknown,0
1,3,female,19.0,7.8542,S,Miss,Unknown,1
1,2,male,3.0,26.0,S,Master,F,2
1,1,female,44.0,27.7208,C,Mrs,B,0
1,1,female,58.0,146.5208,C,Miss,B,0
0,3,male,29.69911764705882,7.75,Q,Mr,Unknown,0
0,3,male,42.0,8.4042,S,Mr,Unknown,1
1,3,female,29.69911764705882,7.75,Q,Miss,Unknown,0
0,2,female,24.0,13.0,S,Mrs,Unknown,0
0,3,male,28.0,9.5,S,Mr,Unknown,0
0,3,male,29.69911764705882,69.55,S,Mr,Unknown,10
0,3,male,34.0,6.4958,S,Mr,Unknown,0
0,3,male,45.5,7.225,C,Mr,Unknown,0
1,3,male,18.0,8.05,S,Mr,Unknown,0
0,3,female,2.0,10.4625,S,Miss,G,1
0,3,male,32.0,15.85,S,Mr,Unknown,1
1,3,male,26.0,18.7875,C,Mr,Unknown,0
1,3,female,16.0,7.75,Q,Miss,Unknown,0
1,1,male,40.0,31.0,C,Mr,A,0
0,3,male,24.0,7.05,S,Mr,Unknown,0
1,2,female,35.0,21.0,S,Miss,Unknown,0
0,3,male,22.0,7.25,S,Mr,Unknown,0
0,2,male,30.0,13.0,S,Mr,Unknown,0
0,3,male,29.69911764705882,7.75,Q,Mr,Unknown,1
1,1,female,31.0,113.275,C,Miss,D,1
1,3,female,27.0,7.925,S,Miss,Unknown,0
0,2,male,42.0,27.0,S,Mr,Unknown,1
1,1,female,32.0,76.2917,C,Miss,D,0
0,2,male,30.0,10.5,S,Mr,Unknown,0
1,3,male,16.0,8.05,S,Mr,Unknown,0
0,2,male,27.0,13.0,S,Mr,Unknown,0
0,3,male,51.0,8.05,S,Mr,Unknown,0
0,3,male,29.69911764705882,7.8958,S,Mr,Unknown,0
1,1,male,38.0,90.0,S,Mr,C,1
0,3,male,22.0,9.35,S,Mr,Unknown,0
1,2,male,19.0,10.5,S,Mr,Unknown,0
0,3,male,20.5,7.25,S,Mr,Unknown,0
0,2,male,18.0,13.0,S,Mr,Unknown,0
0,3,female,29.69911764705882,25.4667,S,Miss,Unknown,4
1,1,female,35.0,83.475,S,Mrs,C,1
0,3,male,29.0,7.775,S,Mr,Unknown,0
0,2,male,59.0,13.5,S,Mr,Unknown,0
1,3,female,5.0,31.3875,S,Miss,Unknown,6
0,2,male,24.0,10.5,S,Mr,Unknown,0
0,3,female,29.69911764705882,7.55,S,Miss,Unknown,0
0,2,male,44.0,26.0,S,Mr,Unknown,1
1,2,female,8.0,26.25,S,Miss,Unknown,2
0,2,male,19.0,10.5,S,Mr,Unknown,0
0,2,male,33.0,12.275,S,Mr,Unknown,0
0,3,female,29.69911764705882,14.4542,C,Miss,Unknown,1
1,3,female,29.69911764705882,15.5,Q,Miss,Unknown,1
0,2,male,29.0,10.5,S,Mr,Unknown,0
0,3,male,22.0,7.125,S,Mr,Unknown,0
0,3,male,30.0,7.225,C,Mr,Unknown,0
0,1,male,44.0,90.0,Q,Mrs,C,2
0,3,female,25.0,7.775,S,Miss,Unknown,0
1,2,female,24.0,14.5,S,Mrs,Unknown,2
1,1,male,37.0,52.5542,S,Mr,D,2
0,2,male,54.0,26.0,S,Mr,Unknown,1
0,3,male,29.69911764705882,7.25,S,Mr,Unknown,0
0,3,female,29.0,10.4625,S,Mrs,G,2
0,1,male,62.0,26.55,S,Mr,C,0
0,3,male,30.0,16.1,S,Mr,Unknown,1
0,3,female,41.0,20.2125,S,Mrs,Unknown,2
1,3,female,29.0,15.2458,C,Mrs,Unknown,2
1,1,female,29.69911764705882,79.2,C,Mrs,Unknown,0
1,1,female,30.0,86.5,S,Miss,B,0
1,1,female,35.0,512.3292,C,Miss,Unknown,0
1,2,female,50.0,26.0,S,Mrs,Unknown,1
0,3,male,29.69911764705882,7.75,Q,Mr,Unknown,0
1,3,male,3.0,31.3875,S,Master,Unknown,6
0,1,male,52.0,79.65,S,Mr,E,2
0,1,male,40.0,0.0,S,Mr,B,0
0,3,female,29.69911764705882,7.75,Q,Miss,Unknown,0
0,2,male,36.0,10.5,S,Mr,Unknown,0
0,3,male,16.0,39.6875,S,Mr,Unknown,5
1,3,male,25.0,7.775,S,Mr,Unknown,1
1,1,female,58.0,153.4625,S,Mrs,C,1
1,1,female,35.0,135.6333,S,Miss,C,0
0,1,male,29.69911764705882,31.0,S,Mr,Unknown,0
1,3,male,25.0,0.0,S,Mr,Unknown,0
1,2,female,41.0,19.5,S,Mrs,Unknown,1
0,1,male,37.0,29.7,C,Mr,C,1
1,3,female,29.69911764705882,7.75,Q,Miss,Unknown,0
1,1,female,63.0,77.9583,S,Miss,D,1
0,3,female,45.0,7.75,S,Miss,Unknown,0
0,2,male,29.69911764705882,0.0,S,Mr,Unknown,0
0,3,male,7.0,29.125,Q,Master,Unknown,5
1,3,female,35.0,20.25,S,Mrs,Unknown,2
0,3,male,65.0,7.75,Q,Mr,Unknown,0
0,3,male,28.0,7.8542,S,Mr,Unknown,0
0,3,male,16.0,9.5,S,Mr,Unknown,0
1,3,male,19.0,8.05,S,Mr,Unknown,0
0,1,male,29.69911764705882,26.0,S,Mr,A,0
0,3,male,33.0,8.6625,C,Mr,Unknown,0
1,3,male,30.0,9.5,S,Mr,Unknown,0
0,3,male,22.0,7.8958,S,Mr,Unknown,0
1,2,male,42.0,13.0,S,Mr,Unknown,0
1,3,female,22.0,7.75,Q,Miss,Unknown,0
1,1,female,26.0,78.85,S,Miss,Unknown,0
1,1,female,19.0,91.0792,C,Mrs,B,1
0,2,male,36.0,12.875,C,Mr,D,0
0,3,female,24.0,8.85,S,Miss,Unknown,0
0,3,male,24.0,7.8958,S,Mr,Unknown,0
0,1,male,29.69911764705882,27.7208,C,Mr,Unknown,0
0,3,male,23.5,7.2292,C,Mr,Unknown,0
0,1,female,2.0,151.55,S,Miss,C,3
1,1,male,29.69911764705882,30.5,S,Mr,C,0
1,1,female,50.0,247.5208,C,Mrs,B,1
1,3,female,29.69911764705882,7.75,Q,Miss,Unknown,0
1,3,male,29.69911764705882,23.25,Q,Mr,Unknown,2
0,3,male,19.0,0.0,S,Mr,Unknown,0
1,2,female,29.69911764705882,12.35,Q,Miss,E,0
0,3,male,29.69911764705882,8.05,S,Mr,Unknown,0
1,1,male,0.92,151.55,S,Master,C,3
1,1,female,29.69911764705882,110.8833,C,Miss,Unknown,0
1,1,female,17.0,108.9,C,Mrs,C,1
0,2,male,30.0,24.0,C,Mr,Unknown,1
1,1,female,30.0,56.9292,C,Miss,E,0
1,1,female,24.0,83.1583,C,Miss,C,0
1,1,female,18.0,262.375,C,Miss,B,4
0,2,female,26.0,26.0,S,Mrs,Unknown,2
0,3,male,28.0,7.8958,S,Mr,Unknown,0
0,2,male,43.0,26.25,S,Mr,Unknown,2
1,3,female,26.0,7.8542,S,Miss,Unknown,0
1,2,female,24.0,26.0,S,Mrs,Unknown,1
0,2,male,54.0,14.0,S,Mrs,Unknown,0
1,1,female,31.0,164.8667,S,Miss,C,2
1,1,female,40.0,134.5,C,Mrs,E,2
0,3,male,22.0,7.25,S,Mr,Unknown,0
0,3,male,27.0,7.8958,S,Mr,Unknown,0
1,2,female,30.0,12.35,Q,Miss,Unknown,0
1,2,female,22.0,29.0,S,Mrs,Unknown,2
0,3,male,29.69911764705882,69.55,S,Mr,Unknown,10
1,1,female,36.0,135.6333,C,Miss,C,0
0,3,male,61.0,6.2375,S,Mr,Unknown,0
1,2,female,36.0,13.0,S,Mrs,D,0
1,3,female,31.0,20.525,S,Mrs,Unknown,2
1,1,female,16.0,57.9792,C,Miss,B,1
1,3,female,29.69911764705882,23.25,Q,Miss,Unknown,2
0,1,male,45.5,28.5,S,Mr,C,0
0,1,male,38.0,153.4625,S,Mr,C,1
0,3,male,16.0,18.0,S,Mr,Unknown,2
1,1,female,29.69911764705882,133.65,S,Mrs,Unknown,1
0,3,male,29.69911764705882,7.8958,S,Mr,Unknown,0
0,1,male,29.0,66.6,S,Mr,C,1
1,1,female,41.0,134.5,C,Miss,E,0
1,3,male,45.0,8.05,S,Mr,Unknown,0
0,1,male,45.0,35.5,S,Mr,T,0
1,2,male,2.0,26.0,S,Master,F,2
1,1,female,24.0,263.0,S,Miss,C,5
0,2,male,28.0,13.0,S,Mr,Unknown,0
0,2,male,25.0,13.0,S,Mr,Unknown,0
0,2,male,36.0,13.0,S,Mr,Unknown,0
1,2,female,24.0,13.0,S,Miss,F,0
1,2,female,40.0,13.0,S,Miss,Unknown,0
1,3,female,29.69911764705882,16.1,S,Mrs,Unknown,1
1,3,male,3.0,15.9,S,Master,Unknown,2
0,3,male,42.0,8.6625,S,Mr,Unknown,0
0,3,male,23.0,9.225,S,Mr,Unknown,0
0,1,male,29.69911764705882,35.0,S,Mr,C,0
0,3,male,15.0,7.2292,C,Mr,Unknown,2
0,3,male,25.0,17.8,S,Mr,Unknown,1
0,3,male,29.69911764705882,7.225,C,Mr,Unknown,0
0,3,male,28.0,9.5,S,Mr,Unknown,0
1,1,female,22.0,55.0,S,Miss,E,1
0,2,female,38.0,13.0,S,Miss,Unknown,0
1,3,female,29.69911764705882,7.8792,Q,Miss,Unknown,0
1,3,female,29.69911764705882,7.8792,Q,Miss,Unknown,0
0,3,male,40.0,27.9,S,Mr,Unknown,5
0,2,male,29.0,27.7208,C,Mr,Unknown,1
0,3,female,45.0,14.4542,C,Mrs,Unknown,1
0,3,male,35.0,7.05,S,Mr,Unknown,0
0,3,male,29.69911764705882,15.5,Q,Mr,Unknown,1
0,3,male,30.0,7.25,S,Mr,Unknown,0
1,1,female,60.0,75.25,C,Mrs,D,1
1,3,female,29.69911764705882,7.2292,C,Mrs,Unknown,0
1,3,female,29.69911764705882,7.75,Q,Miss,Unknown,0
1,1,female,24.0,69.3,C,Mrs,B,0
1,1,male,25.0,55.4417,C,Mr,E,1
0,3,male,18.0,6.4958,S,Mr,Unknown,1
0,3,male,19.0,8.05,S,Mr,Unknown,0
0,1,male,22.0,135.6333,C,Mr,Unknown,0
0,3,female,3.0,21.075,S,Miss,Unknown,4
1,1,female,29.69911764705882,82.1708,C,Mrs,Unknown,1
1,3,female,22.0,7.25,S,Miss,Unknown,0
0,1,male,27.0,211.5,C,Mr,C,2
0,3,male,20.0,4.0125,C,Mr,Unknown,0
0,3,male,19.0,7.775,S,Mr,Unknown,0
1,1,female,42.0,227.525,C,Miss,Unknown,0
1,3,female,1.0,15.7417,C,Miss,Unknown,2
0,3,male,32.0,7.925,S,Mr,Unknown,0
1,1,female,35.0,52.0,S,Mrs,Unknown,1
0,3,male,29.69911764705882,7.8958,S,Mr,Unknown,0
0,2,male,18.0,73.5,S,Mr,Unknown,0
0,3,male,1.0,46.9,S,Master,Unknown,7
1,2,female,36.0,13.0,S,Miss,Unknown,0
0,3,male,29.69911764705882,7.7292,Q,Mr,Unknown,0
1,2,female,17.0,12.0,C,Miss,Unknown,0
1,1,male,36.0,120.0,S,Mr,B,3
1,3,male,21.0,7.7958,S,Mr,Unknown,0
0,3,male,28.0,7.925,S,Mr,Unknown,2
1,1,female,23.0,113.275,C,Miss,D,1
1,3,female,24.0,16.7,S,Mrs,G,2
0,3,male,22.0,7.7958,S,Mr,Unknown,0
0,3,female,31.0,7.8542,S,Miss,Unknown,0
0,2,male,46.0,26.0,S,Mr,Unknown,0
0,2,male,23.0,10.5,S,Mrs,Unknown,0
1,2,female,28.0,12.65,S,Mrs,Unknown,0
1,3,male,39.0,7.925,S,Mr,Unknown,0
0,3,male,26.0,8.05,S,Mr,Unknown,0
0,3,female,21.0,9.825,S,Miss,Unknown,1
0,3,male,28.0,15.85,S,Mr,Unknown,1
0,3,female,20.0,8.6625,S,Miss,Unknown,0
0,2,male,34.0,21.0,S,Mr,Unknown,1
0,3,male,51.0,7.75,S,Mr,Unknown,0
1,2,male,3.0,18.75,S,Master,Unknown,2
0,3,male,21.0,7.775,S,Mr,Unknown,0
0,3,female,29.69911764705882,25.4667,S,Miss,Unknown,4
0,3,male,29.69911764705882,7.8958,S,Mr,Unknown,0
0,3,male,29.69911764705882,6.8583,Q,Mr,Unknown,0
1,1,female,33.0,90.0,Q,Miss,C,1
0,2,male,29.69911764705882,0.0,S,Mr,Unknown,0
1,3,male,44.0,7.925,S,Mr,Unknown,0
0,3,female,29.69911764705882,8.05,S,Mrs,Unknown,0
1,2,female,34.0,32.5,S,Mrs,Unknown,2
1,2,female,18.0,13.0,S,Miss,Unknown,2
0,2,male,30.0,13.0,S,Mr,Unknown,0
0,3,female,10.0,24.15,S,Miss,Unknown,2
0,3,male,29.69911764705882,7.8958,C,Mr,Unknown,0
0,3,male,21.0,7.7333,Q,Mr,Unknown,0
0,3,male,29.0,7.875,S,Mr,Unknown,0
0,3,female,28.0,14.4,S,Mrs,Unknown,2
0,3,male,18.0,20.2125,S,Mr,Unknown,2
0,3,male,29.69911764705882,7.25,S,Mr,Unknown,0
1,2,female,28.0,26.0,S,Mrs,Unknown,1
1,2,female,19.0,26.0,S,Mrs,Unknown,0
0,3,male,29.69911764705882,7.75,Q,Mr,Unknown,0
1,3,male,32.0,8.05,S,Mr,E,0
1,1,male,28.0,26.55,S,Mr,C,0
1,3,female,29.69911764705882,16.1,S,Mrs,Unknown,1
1,2,female,42.0,26.0,S,Mrs,Unknown,1
0,3,male,17.0,7.125,S,Mr,Unknown,0
0,1,male,50.0,55.9,S,Mr,E,1
1,1,female,14.0,120.0,S,Miss,B,3
0,3,female,21.0,34.375,S,Miss,Unknown,4
1,2,female,24.0,18.75,S,Mrs,Unknown,5
0,1,male,64.0,263.0,S,Mr,C,5
0,2,male,31.0,10.5,S,Mr,Unknown,0
1,2,female,45.0,26.25,S,Mrs,Unknown,2
0,3,male,20.0,9.5,S,Mr,Unknown,0
0,3,male,25.0,7.775,S,Mr,Unknown,1
1,2,female,28.0,13.0,S,Miss,Unknown,0
1,3,male,29.69911764705882,8.1125,S,Mr,Unknown,0
1,1,male,4.0,81.8583,S,Master,A,2
1,2,female,13.0,19.5,S,Miss,Unknown,1
1,1,male,34.0,26.55,S,Mr,Unknown,0
1,3,female,5.0,19.2583,C,Miss,Unknown,3
1,1,male,52.0,30.5,S,Mr,C,0
0,2,male,36.0,27.75,S,Mr,Unknown,3
0,3,male,29.69911764705882,19.9667,S,Mr,Unknown,1
0,1,male,30.0,27.75,C,Mr,C,0
1,1,male,49.0,89.1042,C,Mr,C,1
0,3,male,29.69911764705882,8.05,S,Mr,Unknown,0
1,3,male,29.0,7.8958,C,Mr,Unknown,0
0,1,male,65.0,26.55,S,Mr,E,0
1,1,female,29.69911764705882,51.8625,S,Mrs,D,1
1,2,female,50.0,10.5,S,Miss,Unknown,0
0,3,male,29.69911764705882,7.75,Q,Mr,Unknown,0
1,1,male,48.0,26.55,S,Mr,E,0
0,3,male,34.0,8.05,S,Mr,Unknown,0
0,1,male,47.0,38.5,S,Mr,E,0
0,2,male,48.0,13.0,S,Mr,Unknown,0
0,3,male,29.69911764705882,8.05,S,Mr,Unknown,0
0,3,male,38.0,7.05,S,Mr,Unknown,0
0,2,male,29.69911764705882,0.0,S,Mr,Unknown,0
0,1,male,56.0,26.55,S,Mr,Unknown,0
0,3,male,29.69911764705882,7.725,Q,Mr,Unknown,0
1,3,female,0.75,19.2583,C,Miss,Unknown,3
0,3,male,29.69911764705882,7.25,S,Mr,Unknown,0
0,3,male,38.0,8.6625,S,Mr,Unknown,0
1,2,female,33.0,27.75,S,Mrs,Unknown,3
1,2,female,23.0,13.7917,C,Mrs,D,0
0,3,female,22.0,9.8375,S,Miss,Unknown,0
0,1,male,29.69911764705882,52.0,S,Mr,A,0
0,2,male,34.0,21.0,S,Mr,Unknown,1
0,3,male,29.0,7.0458,S,Mr,Unknown,1
0,3,male,22.0,7.5208,S,Mr,Unknown,0
1,3,female,2.0,12.2875,S,Miss,Unknown,1
0,3,male,9.0,46.9,S,Master,Unknown,7
0,2,male,29.69911764705882,0.0,S,Mr,Unknown,0
0,3,male,50.0,8.05,S,Mr,Unknown,0
1,3,female,63.0,9.5875,S,Mrs,Unknown,0
1,1,male,25.0,91.0792,C,Mr,B,1
0,3,female,29.69911764705882,25.4667,S,Miss,Unknown,4
1,1,female,35.0,90.0,S,Mrs,C,1
0,1,male,58.0,29.7,C,Mr,B,0
0,3,male,30.0,8.05,S,Mr,Unknown,0
1,3,male,9.0,15.9,S,Master,Unknown,2
0,3,male,29.69911764705882,19.9667,S,Mr,Unknown,1
0,3,male,21.0,7.25,S,Mr,Unknown,0
0,1,male,55.0,30.5,S,Mr,C,0
0,1,male,71.0,49.5042,C,Mr,Unknown,0
0,3,male,21.0,8.05,S,Mr,Unknown,0
0,3,male,29.69911764705882,14.4583,C,Mr,Unknown,0
1,1,female,54.0,78.2667,C,Miss,D,1
0,3,male,29.69911764705882,15.1,S,Mr,Unknown,0
0,1,female,25.0,151.55,S,Mrs,C,3
0,3,male,24.0,7.7958,S,Mr,Unknown,0
0,3,male,17.0,8.6625,S,Mr,Unknown,0
0,3,female,21.0,7.75,Q,Miss,Unknown,0
0,3,female,29.69911764705882,7.6292,Q,Miss,Unknown,0
